序号,章节,方剂名,出处,组成,用法,功用,主治,方义,配伍特点,注意/禁忌,《方剂学》页码,来源,QA状态,QA问题,药典候选状态,药典候选标题,药典候选来源,药典候选原文预览,定位标题,PDF页码,书内索引页码,页码类型,定位方法,原文片段文件
60,第8章 固涩剂,牡蛎散,《太平惠民和剂局方》,黄芪去苗、土 麻黄根洗 牡蛎米泔浸，刷去土，火烧通赤，各一两（各15g）,上三味为粗散，每服三钱（9g），水一盏半，小麦百余粒，同煎至八分，去渣热服，日二服，不拘时候（现代用法：加小麦或浮小麦15g，水煎服）。,敛阴止汗，益气固表。,自汗、盗汗证。自汗，盗汗，夜卧尤甚，久而不止，心悸惊惕，短气烦倦，舌淡红，脉细弱。,方中煅牡蛎咸涩微寒，敛阴潜阳，固涩止汗为君药。自汗多由气虚所致，生黄芪益气实卫，固表止汗，为臣药。君臣相配，标本兼顾，止汗之力尤著。麻黄根功专收涩止汗，为佐药；小麦甘凉，专入心经，养心阴，益心气，并能清心除烦，为佐使药。诸药合用，既能益气固表，又能敛阴止汗，使气阴得复则汗出可止。,涩补并用，以涩为主；气阴兼顾，以气为主。,,P.150,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.280；书内索引页码 P.150,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,安中片,中华人民共和国药典：2020年版．一部 P.975 entryId=1212,【鉴别】（1）取本品，置显微镜下观察：石细胞单个散在或成群，无色至棕色，类方形或类长方形，直径30～64μm，壁一面菲薄（桂枝）。不规则块片无色或淡黄褐色，表面具细纹理（煅牡蛎）。,牡蛎散,P.280,P.150,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\060_牡蛎散.txt
61,第8章 固涩剂,九仙散,王子昭方，录自《卫生宝鉴》,人参 款冬花 桑白皮 桔梗 五味子 阿胶 乌梅各一两（各12g） 贝母半两（6g） 罂粟壳去顶，蜜炒黄，八两（9g）,上为末，每服三钱，白汤点服，嗽住止后服（现代用法：共为粗末，每日三次，每次6g，温开水送服。亦可作汤剂，水煎服）。,敛肺止咳，益气养阴。,久咳伤肺，气阴两伤证。咳嗽日久不已，咳甚则气喘自汗，痰少而黏，脉虚数。,方中罂粟壳味酸涩，善于敛肺止咳，故重用为君药。五味子、乌梅酸涩，敛肺气，协助君药敛肺止咳；人参补益肺气；阿胶滋养肺阴，气阴双补，共为臣药。君臣相配，增强敛肺止咳、益气养阴之力。款冬花化痰止咳，降气平喘；桑白皮清肺泄热，止咳平喘；贝母清热化痰止咳，共为佐药。桔梗宣肺祛痰，载药上行，为佐使药，与以上诸药配伍，则敛中有散，降中寓升，但全方以降、收为主。诸药合用，共奏敛肺止咳、补益气阴之功。,酸涩之中纳甘润以顾气阴，敛降之中佐宣升以适肺性。,本方中罂粟壳有毒，不宜多服、久服，方后注曰：“嗽住止后服。,P.151,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.282；书内索引页码 P.151,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典有候选命中,九圣散,中华人民共和国药典：2020年版．一部 P.547 entryId=730,【处方】苍术150g黄柏200g紫苏叶200g苦杏仁400g薄荷200g乳香120g没药120g轻粉50g红粉50g【制法】以上九味，除轻粉、红粉外，其余苍术等七味粉碎成细粉；将轻粉、红粉分别水飞成极细粉,九仙散,P.282,P.151,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\061_九仙散.txt
62,第8章 固涩剂,真人养脏汤,《太平惠民和剂局方》,人参 当归去芦 白术焙，各六钱（各6g） 肉豆蔻面裹，煨 ，半两（8g） 肉桂去粗皮 甘草炙，各八钱（各6g） 白芍药一两六钱（12g） 木香不见火，一两四钱（3g） 诃子去核，一两二钱（9g） 罂粟壳去蒂萼，蜜炙，三两六钱（9g）,上锉为粗末。每服二大钱（6g），水一盏半，煎至八分，去滓，食前温服。忌酒、面、生、冷、鱼腥、油腻（现代用法：水煎服）。,涩肠固脱，温补脾肾。,久泻久痢、脾肾虚寒证。大便滑脱不禁，甚则脱肛坠下，腹痛喜温喜按，或下痢赤白，或便脓血，里急后重，日夜无度，不思饮食，舌淡苔白，脉沉迟细。,方中重用罂粟壳涩肠固脱止泻，为君药。诃子苦酸温涩，功专涩肠止泻；肉豆蔻温中散寒，涩肠止泻，共为臣药，助君药以增强涩肠固脱止泻之功。君臣相配，体现“急则治标”之法。肉桂温肾暖脾，兼散阴寒；泻痢日久，气血亏虚，故用人参、白术益气健脾，当归、白芍养血和营，共治其本，其中白芍又治下痢腹痛；为防补涩太过导致气滞，配木香醒脾导滞、行气止痛，使补而不滞。以上药物共为佐药。炙甘草调和诸药，合白芍又能缓急止痛，是为佐使药。诸药合用，补涩结合，标本兼治，使……,涩温相伍，涩中寓补，以涩为主；补中有行，重在补脾。,忌酒、面、生、冷、鱼腥、油腻（现代用法：水煎服）。 以大便滑脱不禁，腹痛喜温喜按，食少神疲，舌淡苔白，脉迟细为辨证要点。 大便滑脱不禁，甚则脱肛坠下，腹痛喜温喜按，或下痢赤白，或便脓血，里急后重，日夜无度，不思饮食，舌淡苔白，脉沉迟细。,P.152,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.284；书内索引页码 P.152,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1375养血生发胶囊…1377养血当归胶囊…1377养血饮口服液…1378养血荣筋丸…1379养血清脑丸…1380养血清脑颗粒…1381养阴生血合剂…1382养阴降糖片…1383养阴清肺丸…1384养阴清肺口服液,真人养脏汤（原名纯阳真人养脏汤）,P.284,P.152,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\062_真人养脏汤.txt
63,第8章 固涩剂,四神丸,《证治准绳》,肉豆蔻二两（6g） 补骨脂四两（12g） 五味子二两（6g） 吴茱萸浸炒，一两（3g）,上为末，生姜八两，红枣一百枚，煮熟，取枣肉和末丸，如桐子大，每服五七十丸，空心或食前白汤送下（现代用法：丸剂，每服6～9g，日2次，用淡盐汤或温开水送服；亦作汤剂，加姜6g、枣10枚，水煎服）。,温肾暖脾，固肠止泻。【主用】 脾肾阳虚之五更泻。五更泄泻，不思饮食，食不消化，或久泻不愈，腹痛喜温，腰酸肢冷，神疲乏力，舌淡，苔薄白，脉沉迟无力。【证治机理】 五更泻，又称肾泄、鸡鸣泄。多由命门火衰，火不暖土，脾失健运，肠失固涩所致。《素问·金匮真言论》云：“鸡鸣至平旦，天之阴，阴中之阳也，故人亦应之。”命门火衰应于此时，五更正是阴气极盛、阳气萌发之际，此时，阳气当至而不至，阴寒内盛，不能温暖脾土，脾阳不升而水谷下趋，故于五更之时出现泄泻。正如《医方集解》所言：“久泻皆由肾命火衰，不能专责脾胃。”肾阳虚衰，不能温暖脾阳，脾失健运，故不思饮食、疲倦乏力；脾肾虚寒，故腹痛腰酸；舌淡苔薄白，脉沉迟无力，皆属脾肾阳虚之候。治宜温肾暖脾，固肠止泻。【方解】 方中重用补骨脂温补命门之火，为君药。臣以肉豆蔻温脾暖胃，涩肠止泻。君臣相配，肾脾兼治，命门火旺则可暖脾土，脾得健运，肠得固摄，则久泻可止。佐以吴茱萸温暖脾肾以散阴寒；五味子温敛收涩，固肾益气，涩肠止泻。生姜温胃散寒，大枣补脾养胃，共为佐使药。诸药合用，温肾暖脾，涩肠止泻。《普济本事方》载二神丸（肉豆蔻、补骨脂） 主治“脾肾虚弱，全不进食”，五味子散（五味子、吴茱萸）专治肾泄。两方合之，温补固涩之功皆著，《绛雪园古方选注》谓“四种之药，治肾泄有神功也”，故冠之“四神”。【配伍特点】 温涩并用，以温为主；脾肾并补，重在治肾。【运用】 本方为治命门火衰，火不暖土所致五更泄泻或久泻之代表方。以五更泄泻，不思饮食，舌淡苔白，脉沉迟无力为辨证要点。《医方集解》强调本方服法应“临睡前时淡盐汤或白开水送下”，并释云“若平旦服之，至夜药力已尽，不能敌一夜之阴寒故也”，可资临床参考。【鉴别】 四神丸与真人养脏汤均能温肾暖脾，涩肠止泻，用于脾肾虚寒之泄泻证，伴有不思饮食、神疲乏力、腹冷痛等症。但真人养脏汤重用罂粟壳为君，以固涩为主，兼以温补脾肾，主治脾肾虚寒、以脾虚为主的泻痢日久、滑脱不禁证；四神丸以补骨脂为君，重在温补命门之火，以温肾为主，兼以暖脾涩肠，主治命门火衰、火不生土所致之五更泻。【方论选录】 此足少阴药也。破故纸辛苦大温，能补相火以通君火，火旺乃能生土，故以为君；肉蔻辛温，能行气消食、暖胃固肠；五味咸能补肾，酸能涩精；吴茱辛热，除湿燥脾，能入少阴、厥阴气分而补火；生姜暖胃，大枣补土，所以防水。盖久泻皆由肾命火衰，不能专责脾胃，故大补下焦元阳，使火旺土强，则能制水而不复妄行矣。（汪昂《医方集解·祛寒之剂》）【医案举例】 友人刘星圃患泄泻之症，被医误治，变为痢疾，小便不通，缠绵匝月，竟有一医认为水结，恣用甘遂、甘草，并杂以他药十余味，凑为一剂。病家闻甘遂与甘草相反，人虚如此，今可同服乎？医云：此名经方，非此不行。信而服之，仅服一次即直泻不止，几乎气脱，势甚危殆，始延余诊视。见其气息奄奄，六脉沉细无力，左尺浮芤，右尺沉伏。余曰：病由肾命火衰，水泛无归，今又被妄下，肾命之火愈衰，急宜温固，遂用四神丸以温之。一剂泻止溺通，次用真武汤以回阳镇水，随用健脾补火之剂大有转机，每餐能食饭一碗。（《温病浅说·温氏医案》）【方歌】 四神故纸吴茱萸，肉蔻五味四般须，大枣百枚姜八两，五更肾泄火衰扶。桃花汤《伤寒论》【组成】 赤石脂一半全用，一半筛末，一斤（20g） 干姜一两（12g） 粳米一升（15g）【用法】 上三味，以水七升，煮米令熟，去滓，温服七合，内赤石脂末方寸匕（5g），日三服。若一服愈，余勿服（现代用法，水煎服）。【功用】 涩肠止痢，温中散寒。,虚寒痢。下痢不止，或滑脱不禁，便脓血，色暗，腹痛喜温喜按，舌淡苔白，脉迟弱或微细。,方中重用补骨脂温补命门之火，为君药。臣以肉豆蔻温脾暖胃，涩肠止泻。君臣相配，肾脾兼治，命门火旺则可暖脾土，脾得健运，肠得固摄，则久泻可止。佐以吴茱萸温暖脾肾以散阴寒；五味子温敛收涩，固肾益气，涩肠止泻。生姜温胃散寒，大枣补脾养胃，共为佐使药。诸药合用，温肾暖脾，涩肠止泻。《普济本事方》载二神丸（肉豆蔻、补骨脂） 主治“脾肾虚弱，全不进食”，五味子散（五味子、吴茱萸）专治肾泄。两方合之，温补固涩之功皆著，《绛雪园古方选注》谓“四种之药，治……,温涩并用，以温为主；脾肾并补，重在治肾。,下痢不止，或滑脱不禁，便脓血，色暗，腹痛喜温喜按，舌淡苔白，脉迟弱或微细。,P.153,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.285；书内索引页码 P.153,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典精确命中,四神丸,中华人民共和国药典：2020年版．一部 P.878 entryId=1100,取上述粉末用生姜汁和水泛丸，干燥，即得。【性状】本品为浅褐色至褐色的水丸；气微香，味苦、咸而带酸、辛。,四神丸,P.285,P.153,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\063_四神丸.txt
64,第8章 固涩剂,金锁固精丸,《医方集解》,沙苑蒺藜炒 芡实蒸 莲须各二两（各12g） 龙骨酥炙 牡蛎盐水煮一日一夜，煅粉，各一 两（各6g）,莲子粉糊为丸，盐汤下（现代用法：丸剂，每服9g，日2次，淡盐汤或开水送下；亦可作汤剂，加入莲子肉10g，水煎服）。,补肾涩精。,肾虚不固之遗精。遗精滑泄，腰疼耳鸣，四肢酸软，神疲乏力，舌淡苔白，脉细弱。,方中沙苑蒺藜甘温，补肾固精，《本经逢原》谓其“为泄精虚劳要药，最能固精”，故为君药。莲肉补肾涩精，芡实益肾固精，莲须固肾涩精，三药合用，以助君补肾固精之力，共为臣药。龙骨、牡蛎收敛固涩，重镇安神，共为佐药。诸药合用，既能涩精，又能补肾，标本兼顾，以涩为主。本方固精关，专为肾虚滑精者而设，故名“金锁固精”。,涩中寓补，重在固精，兼以补肾。,,P.156,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.291；书内索引页码 P.156,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…871再造生血胶囊…872西瓜霜润喉片…874西汉养生口服液（滋肾健脑液）…874西青果茶…875西青果颗粒…876西黄丸…876百令胶囊…877百合固金口服液…878百合固金丸…879百合固金丸（浓缩丸,金锁固精丸,P.291,P.156,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\064_金锁固精丸.txt
65,第8章 固涩剂,固冲汤,《医学衷中参西录》,白术炒，一两（30g） 生黄芪六钱（18g） 龙骨煅，捣细，八钱（24g） 牡蛎煅，捣细，八钱（24g） 萸肉去净核，八钱（24g） 生杭芍四钱（12g） 海螵蛸捣细，四钱（12g） 茜草三钱（9g） 棕边炭二钱（6g） 五倍子轧细，药汁送服，五分（1.5g）,水煎服。,益气健脾，固冲摄血。,脾肾虚弱，冲脉不固证。血崩或月经过多，或漏下不止，色淡质稀，心悸气短，神疲乏力，腰膝酸软，舌淡，脉细弱。,方中重用白术，与黄芪相伍，补气健脾，使气旺摄血，共为君药。肝肾足即冲任固，故配以山茱萸、白芍补益肝肾以调冲任，并能养血敛阴，共为臣药。煅龙骨、煅牡蛎、棕榈炭、五倍子功专收敛固涩，以增止血之力；海螵蛸、茜草化瘀止血，使血止而不留瘀，共为佐药。诸药合用，共奏益气健脾、固冲止血之功。冲为血海，血崩则冲脉空虚，而本方有固冲摄血之功，故以“固冲”冠之。,补涩相合，以涩为主；脾肾同调，主补脾气；寄行于收，止不留瘀。,,P.159,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.295；书内索引页码 P.159,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,0128　冲洗剂,中华人民共和国药典：2020年版．四部 P.60 entryId=5399,冲洗剂也可以是注射用水，但在标签中应注明供冲洗用。通常冲洗剂应调节至等渗。三、冲洗剂在适宜条件下目测应澄清，可见异物应符合规定。四、冲洗剂的容器应符合注射剂容器的规定。,固冲汤,P.295,P.159,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\065_固冲汤.txt
66,第9章 安神剂,朱砂安神丸,《内外伤辨惑论》,朱砂另研，水飞为衣，五钱（1g） 甘草五钱五分（15g） 黄连去须净，酒洗，六钱（15g） 当归去芦，二钱五分（8g） 生地黄一钱五分（6g）,上药除朱砂外，四味共为细末，汤浸蒸饼为丸，如黍米大，以朱砂为衣，每服十五丸或二十丸，津唾咽下，或温水、凉水少许送下亦得（现代用法：上药研末，炼蜜为丸，每次6～9g，临睡前温开水送服；亦可作汤剂，水煎服，朱砂研细末冲服1g）。,镇心安神，清热养血。,心火亢盛，阴血不足证。心神烦乱，失眠多梦，惊悸怔忡，或胸中懊 ，舌尖红，脉细数。,方中朱砂专入心经，秉寒降之性，长于镇心安神，清心火，为君药。黄连苦寒，泻心火以除烦热，为臣药。生地黄清热滋阴，当归养血，均为佐药。甘草防朱砂质重碍胃，并调药和中，为佐使药。诸药合用，使心火降、阴血充，则心烦失眠、惊悸怔忡自除，故以“安神”名之。,质重苦寒，镇清并用，清中兼补，治标为主。,方中朱砂含硫化汞，不宜多服、久服，以防汞中毒； 素体脾胃虚弱者慎用。,P.162,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.301；书内索引页码 P.162,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典有候选命中,牛黄镇惊丸,中华人民共和国药典：2020年版．一部 P.746 entryId=955,【功能与主治】镇惊安神，祛风豁痰。用于小儿惊风，高热抽搐，牙关紧闭，烦躁不安。【用法与用量】口服。水蜜丸一次1g，小蜜丸一次1.5g，大蜜丸一次1丸，一日1～3次；三岁以内小儿酌减。,朱砂安神丸,P.301,P.162,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\066_朱砂安神丸.txt
67,第9章 安神剂,天王补心丹,《校注妇人良方》,人参去芦 茯苓 玄参 丹参 桔梗 远志各五钱（各5g） 当归酒浸 五味 麦门冬去心 天门冬 柏子仁 酸枣仁炒，各一两（9g） 生地黄四两（12g）,上为末，炼蜜为丸，如梧桐子大，用朱砂为衣，每服二三十丸（6～9g），临卧，竹叶煎汤送下（现代用法：上药共为细末，炼蜜为小丸，用朱砂水飞9～15g为衣，每服6～9g，温开水送下，或竹叶煎汤送服；亦可作汤剂，水煎服）。,滋阴养血，补心安神。,阴虚血少，神志不安证。心悸怔忡，虚烦失眠，神疲健忘，或梦遗，手足心热，口舌生疮，大便干结，舌红少苔，脉细数。,方中重用甘寒之生地黄，滋阴养血，清虚热，为君药。天冬、麦冬滋阴清热，酸枣仁、柏子仁养心安神，当归补心血，共助生地滋阴补血以养心安神，俱为臣药。人参补气，使气旺而阴血自生，以宁心神；五味子酸收敛阴，以养心神；茯苓、远志养心安神，交通心肾；玄参滋阴降火，以制虚火上炎；丹参养心血而活血，可使诸药补而不滞；朱砂镇心安神，兼治其标，共为佐药。桔梗为舟楫，载药上行，以使药力上入心经，为使药。诸药相伍，共奏滋阴养血、补心安神之功。,重用甘寒，补中寓清；心肾并治，重在养心。,,P.166,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.307；书内索引页码 P.166,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…608开光复明丸…608开胃健脾丸…610开胸顺气丸…611开胸顺气胶囊…612天王补心丸…613天王补心丸（浓缩丸）…614天丹通络片…615天丹通络胶囊…616天和追风膏…618天菊脑安胶囊…619,天王补心丹,P.307,P.166,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\067_天王补心丹.txt
68,第9章 安神剂,酸枣仁汤,《金匮要略》,酸枣仁二升（15g） 甘草一两（3g） 知母二两（6g） 茯苓二两（6g） 川芎二两（6g）,上五味，以水八升，煮酸枣仁，得六升，内诸药，煮取三升，分温三服（现代用法：水煎服）。,养血安神，清热除烦。,肝血不足，虚热内扰之虚烦不眠证。虚烦失眠，心悸不安，头目眩晕，咽干口燥，舌红，脉弦细。,方中重用酸枣仁养血补肝，宁心安神，为君药。茯苓宁心安神，知母滋阴润燥、清热除烦，俱为臣药。川芎之辛散，调肝血，疏肝气，为佐药。川芎与酸枣仁相伍，寓散于收，补中有行，共奏养血调肝之功。甘草和中缓急，调和诸药，为佐使药。合而成方，共奏养血安神、清热除烦之功。,心肝同治，重在养肝；补中兼行，以适肝性。,,P.167,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.309；书内索引页码 P.167,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,酸枣仁,中华人民共和国药典：2020年版．一部 P.431 entryId=583,另取酸枣仁皂苷A对照品、酸枣仁皂苷B对照品，加甲醇制成每1ml各含1mg的混合溶液，作为对照品溶液。,酸枣仁汤,P.309,P.167,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\068_酸枣仁汤.txt
69,第10章 开窍剂,安宫牛黄丸,《温病条辨》,牛黄一两（30g） 郁金一两（30g） 犀角（水牛角代）一两（30g） 黄连一两（30g） 朱砂一两（30g） 梅片二钱五分（7.5g） 麝香二钱五分（7.5g） 真珠五钱（15g） 山栀一两（30g） 雄黄一两（30g） 黄芩一两（30g）,上为极细末，炼老蜜为丸，每丸一钱（3g），金箔为衣，蜡护。脉虚者人参汤下，脉实者银花、薄荷汤下，每服一丸。大人病重体实者，日再服，甚至日三服；小儿服半丸，不知，再服半丸（现代用法：口服，一次1丸。小儿3岁以内，一次1/4丸；4～6岁，一次1/2丸。一日1～3次。昏迷不能口服者，可鼻饲给药）。,清热解毒，豁痰开窍。,邪热内陷心包证。高热烦躁，神昏谵语，或舌謇肢厥，舌红或绛，脉数。亦治中风昏迷，小儿惊厥，属邪热内闭者。,方中牛黄苦凉，清心解毒，豁痰开窍；犀角（水牛角）咸寒，清心凉血解毒；麝香芳香走窜，通达十二经，芳香开窍醒神。三味相配，清心开窍，凉血解毒，共为君药。黄连、黄芩、山栀苦寒清热，泻火解毒，以增牛黄、犀角清解热毒之力，共为臣药。冰片、郁金芳香辟秽，通窍开闭，以加强麝香开窍醒神之功；雄黄助牛黄以劫痰解毒；朱砂、珍珠清热镇心安神；金箔为衣，亦取其重镇安神之效，共为佐药。用炼蜜为丸，和胃调中，为使药。诸药配伍，清热解毒，芳香开窍。,苦寒清热与芳香开窍合法，主以清心泻火。,”脉虚为正不胜邪之兆，取人参补气扶正、托邪外出之功，此时应严密观察病情的变化，慎防其由闭转脱,P.173,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.318；书内索引页码 P.173,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典精确命中,安宫牛黄丸,中华人民共和国药典：2020年版．一部 P.979 entryId=1217,【处方】牛黄100g水牛角浓缩粉200g麝香或人工麝香25g珍珠50g朱砂100g雄黄100g黄连100g黄芩100g栀子100g郁金100g冰片25g【制法】以上十一味，珍珠水飞或粉碎成极细粉；朱砂、雄黄分别水飞成极细粉；黄连、黄芩、栀子、郁金粉碎成细粉；将牛黄、水牛角浓缩粉、麝香或人工麝香、冰片研细，与上述粉末配研，过筛，混匀，加适量炼蜜制成大蜜丸600丸或1200丸，或包金衣，即得。【性状】本品为黄橙色至红褐色的大蜜丸，或为包金衣的大蜜丸，除去金衣后显黄橙色至红褐色；气芳香浓郁，味微苦。【鉴别】（1）取本品，,安宫牛黄丸,P.318,P.173,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\069_安宫牛黄丸.txt
70,第10章 开窍剂,紫雪,《苏恭方》，录自《外台秘要》,黄金百两（3000g） 寒水石三斤（1500g） 石膏三斤（1500g） 磁石三斤（1500g） 滑石三斤（1500g） 玄参一斤（500g） 羚羊角屑，五两（150g） 犀角屑（水牛角代），五两（150g） 升麻一升（250g） 沉香五两（150g） 丁子香一两（30g） 青木香五两（150g） 甘草炙，八两（240g）,上十三味，以水一斛，先煮五种金石药，得四斗，去滓后内八物，煮取一斗五升，去滓，取硝石四升（1000g），芒硝亦可，用朴硝精者十斤（5000g）投汁中，微炭火上煮，柳木篦搅，勿住手，有七升，投在木盆中，半日欲凝，内研朱砂三两（90g），细研当门子五分（1.5g），内中搅调，寒之二日成霜雪紫色。病人强壮者，一服二分（0.6g），当利热毒；老弱人或热毒微者，一服一分，以意节之，合得一剂（现代用法：口服，一次1.5～3g，一日2次。周岁小儿一次0.3g，每增1岁，递增0.3g，每日1次；五岁以上小儿遵医嘱，酌情服用）。,清热开窍，息风止痉。,热盛动风证。高热烦躁，神昏谵语，痉厥，口渴唇焦，尿赤便秘，舌质红绛，苔干黄，脉数有力或弦数；以及小儿热盛惊厥。,方中犀角（水牛角代）咸寒，清心凉血解毒；羚羊角咸寒，清热凉肝息风；麝香芳香走窜，开窍醒神。三药配伍，清热开窍息风，针对高热、神昏、惊厥而设，共为君药。生石膏辛甘大寒，寒水石辛咸大寒，二者清热泻火，除烦止渴；滑石甘淡而寒，清热利窍，引热下行，三石为臣，清热泻火且不伤津。佐以硝石、朴硝泻热通便，釜底抽薪；玄参滋阴清热凉血；升麻清热解毒透邪；青木香、丁香、沉香辛温芳香，行气通窍，与麝香配伍，增强开窍醒神之功；黄金、朱砂、磁石重镇安神，并能潜镇……,甘寒咸凉与芳香辛行、金石重镇相伍，开窍之中更具息风之效。,上十三味，以水一斛，先煮五种金石药，得四斗，去滓后内八物，煮取一斗五升，去滓，取硝石四升（1000g），芒硝亦可，用朴硝精者十斤（5000g）投汁中，微炭火上煮，柳木篦搅，勿住手，有七升，投在木盆中，半日欲凝，内研朱砂三两（90g），细研当门子五分（1.5g），内中搅调，寒之二日成霜雪紫色。 本方以金石重坠与辛香走窜之品为主，服用过量有损元气，故应中病即止。,P.175,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.320；书内索引页码 P.175,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典精确命中,紫雪散,中华人民共和国药典：2020年版．一部 P.1768 entryId=2076,【处方】石膏144g北寒水石144g滑石144g磁石144g玄参48g木香15g沉香15g升麻48g甘草24g丁香3g芒硝（制）480g硝石（精制）96g水牛角浓缩粉9g羚羊角4.5g人工麝香3.6g朱砂9g【制法】以上十六味，石膏、北寒水石、滑石、磁石砸成小块，加水煎煮三次，玄参、木香、沉香、升麻、甘草、丁香用石膏等煎液煎煮三次，合并煎液，滤过，滤液浓缩成膏；芒硝（制）、硝石（精制）粉碎，兑入膏中，混匀，干燥，粉碎成细粉；羚羊角锉研成细粉；朱砂水飞成极细粉；将水牛角浓缩粉、人工麝香研细，与上述粉末配研，过筛，混匀,紫雪,P.320,P.175,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\070_紫雪.txt
71,第10章 开窍剂,至宝丹,《灵苑方》引郑感方，录自《苏沈良方》,生乌犀（水牛角代） 生玳瑁 琥珀 朱砂 雄黄各一两（各30g） 牛黄 龙脑 麝香各一分（各0.3g） 安息香一两半，酒浸，重阳煮令化，滤去滓，约取一两净（30g） 金银箔各五十片,上为丸，如皂角子大，每服一丸，人参汤送下，小儿量减（现代用法：研末为丸，每丸重3g，每服1丸，一日1次，小儿酌减）。,清热开窍，化浊解毒。,痰热内闭心包证。神昏谵语，身热烦躁，痰盛气粗，舌绛苔黄垢腻，脉滑数。亦治中风、中暑、小儿惊厥属于痰热内闭者。,方中麝香芳香开窍醒神；牛黄豁痰开窍清热，合犀角（水牛角代）清心凉血解毒，共为君药。臣以冰片（龙脑）、安息香辟秽化浊，芳香开窍，与麝香合用，开窍之力尤为显著；玳瑁清热解毒，镇心安神，息风定惊，可增强犀角、牛黄清热解毒之力。佐以雄黄助牛黄豁痰解毒；朱砂重镇安神，又清心火；琥珀镇惊安神；金箔、银箔镇心安神定惊，与朱砂、琥珀同用，加强重镇安神之力。全方由贵重药材组成，治病救危，疗效卓著，故称“至宝丹”。,芳香辟秽与清解镇心合法，主以化浊开窍。,,P.176,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.321；书内索引页码 P.176,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…709丹灯通脑软胶囊…710丹灯通脑胶囊…711丹红化瘀口服液…712丹参片…713丹香清脂颗粒…714丹桂香颗粒…714丹益片…716丹鹿通督片…717丹蒌片…718丹膝颗粒…719风热清口服液…721,至宝丹,P.321,P.176,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\071_至宝丹.txt
